2022-03-21 09:05:47+00:00,"b'RT @apnmoa: Pada tahun 1997  @Anggun_Cipta mengenalkan "" Pawang Hujan "" pada Dunia dalam lagunya yang berjudul Pluies. Hari ini, @MotoGP me\xe2\x80\xa6'",SVR™ | Wan
2022-03-21 09:05:07+00:00,"b'RT @apnmoa: Pada tahun 1997  @Anggun_Cipta mengenalkan "" Pawang Hujan "" pada Dunia dalam lagunya yang berjudul Pluies. Hari ini, @MotoGP me\xe2\x80\xa6'",Anggun Official
2022-03-21 09:00:25+00:00,"b'RT @aniesbaswedan: Hujan deras tidak menyurutkan semangat ribuan penonton di tribun Sirkuit Mandalika hari ini. Alhamdulillah, dapat kembal\xe2\x80\xa6'",ya kan ngibul
2022-03-21 09:00:25+00:00,b'Roy Suryo Unggah Foto Pawan Hujan di MotoGP Mandalika: Terkesan \xe2\x80\x9cMenantang\xe2\x80\x9d Kehendak Allah SWT https://t.co/ZiiGgy1FRK #MotoGPMandalika #PawanHujan #RoySuryo',fajar online
2022-03-21 09:00:01+00:00,b'Piala MotoGP Mandalika Hasil Karya Pelaku Ekonomi Kreatif dari Bali\n\nBaca selengkapnya disini!\nhttps://t.co/Bj4yIOzM4A\n\n#MataIndonesia #motogpmandalika #pialamotogp #hasilkarya #ekonomikreatif #bali',Mata Milenial Indonesia
2022-03-21 08:57:20+00:00,b'RT @strobevly: Keseruan Presiden Jokowi dan Ibu Iriana Jokowi menonton MotoGP Mandalika..\n\nSukses #MotoGPMandalika \n\n#MotoGP \n#IndonesiaGP\xe2\x80\xa6',NalaR ®️ ☕
2022-03-21 08:54:18+00:00,"b'RT @Wandystjk: Wow, luar biasa full penonton\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xe2\x9c\x8a\xe2\x9c\x8a\n#MotoGPMandalika \n#IndonesianGP \n.\n. https://t.co/SQGUWS8xXP'",habibie_ali
2022-03-21 08:49:17+00:00,"b'RT @aniesbaswedan: Hujan deras tidak menyurutkan semangat ribuan penonton di tribun Sirkuit Mandalika hari ini. Alhamdulillah, dapat kembal\xe2\x80\xa6'",Youngmukhtar
2022-03-21 08:36:04+00:00,"b'RT @Wandystjk: Wow, luar biasa full penonton\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xe2\x9c\x8a\xe2\x9c\x8a\n#MotoGPMandalika \n#IndonesianGP \n.\n. https://t.co/SQGUWS8xXP'",Kopiku
2022-03-21 08:34:55+00:00,"b'RT @leonisecret: Dari postingan para pembalap di social media, unique selling point MotoGP Mandalika berpotensi memulai sport tourism Indon\xe2\x80\xa6'",Achmad Humaidy
